Designator,Mid X,Mid Y,Layer,Rotation
D411,65.95mm,31.82mm,Top,270.0
D417,59.0mm,31.075mm,Top,270.0
R411,57.5mm,28.275mm,Top,180.0
D410,56.25mm,27.0mm,Top,0.0
R420,69.35mm,79.25mm,Top,180.0
C429,48.475mm,78.275mm,Top,270.0
C427,66.6mm,79.475mm,Top,180.0
C428,46.575mm,78.1mm,Top,180.0
C423,64.625mm,76.725mm,Top,90.0
C421,60.325mm,78.275mm,Top,90.0
C422,62.55mm,76.75mm,Top,90.0
C424,66.675mm,76.7mm,Top,270.0
R421,58.025mm,79.4mm,Top,0.0
R422,49.6mm,78.275mm,Top,90.0
R423,46.6mm,79.25mm,Top,180.0
D420,47.075mm,75.575mm,Top,0.0
C420,60.25mm,74.275mm,Top,180.0
L420,69.175mm,76.35mm,Top,270.0
U420,54.625mm,76.425mm,Top,90.0
D421,33.4mm,76.85mm,Top,90.0
C425,44.3mm,78.725mm,Top,90.0
C426,36.325mm,78.775mm,Top,90.0
L421,40.325mm,76.225mm,Top,180.0
R450,72.55mm,79.15mm,Top,270.0
C451,74.875mm,79.15mm,Top,90.0
C450,73.7mm,79.15mm,Top,90.0
J450,83.25mm,73.05mm,Top,180.0
D305,88.075mm,53.07mm,Top,90.0
R314,90.45mm,24.515mm,Top,90.0
R313,90.15mm,29.415mm,Top,90.0
Q313,88.455mm,32.365mm,Top,0.0
F300,87.55mm,26.465mm,Top,180.0
D304,87.795mm,29.04mm,Top,180.0
R309,98.175mm,55.855mm,Top,270.0
R310,94.025mm,53.79mm,Top,270.0
R306,72.85mm,54.58mm,Top,90.0
C300,95.975mm,56.33mm,Top,180.0
U303,95.1001mm,24.755mm,Top,270.0
U300,94.6501mm,30.305mm,Top,270.0
U304,76.875mm,60.805mm,Top,180.0
U302,95.425mm,60.855mm,Top,0.0
U301,87.4mm,60.855mm,Top,180.0
R302,75.675mm,33.43mm,Top,0.0
Q303,75.375mm,31.06mm,Top,90.0
D300,80.075mm,31.53mm,Top,270.0
R308,90.9173mm,52.6542mm,Top,180.0
R307,92.85mm,55.015mm,Top,90.0
R305,78.175mm,42.755mm,Top,90.0
R304,92.325mm,42.63mm,Top,90.0
R303,84.675mm,29.905mm,Top,180.0
R301,83.675mm,23.28mm,Top,180.0
R300,83.7mm,24.705mm,Top,180.0
Q310,74.65mm,38.355mm,Top,270.0
Q309,81.7mm,38.355mm,Top,270.0
Q308,74.85mm,46.955mm,Top,90.0
Q307,81.8mm,46.955mm,Top,90.0
Q306,95.7mm,46.955mm,Top,90.0
Q305,95.7mm,38.355mm,Top,270.0
Q311,88.75mm,38.355mm,Top,270.0
Q312,88.75mm,46.955mm,Top,90.0
Q304,84.7mm,32.275mm,Top,270.0
Q302,80.575mm,23.96mm,Top,90.0
Q301,77.125mm,23.96mm,Top,90.0
Q300,73.575mm,23.96mm,Top,90.0
D301,78.0mm,31.53mm,Top,270.0
D302,72.625mm,31.43mm,Top,270.0
D303,82.075mm,31.53mm,Top,270.0
C308,85.9mm,23.855mm,Top,270.0
C307,87.725mm,23.905mm,Top,270.0
C306,84.55mm,27.33mm,Top,90.0
C305,82.8mm,27.33mm,Top,90.0
C304,81.05mm,27.33mm,Top,90.0
C313,79.3mm,27.33mm,Top,90.0
C312,77.55mm,27.33mm,Top,90.0
C311,75.8mm,27.33mm,Top,90.0
C310,74.05mm,27.33mm,Top,90.0
C309,72.3mm,27.33mm,Top,90.0
R430,21.625mm,77.85mm,Top,180.0
C431,29.275mm,74.4mm,Top,0.0
C430,25.575mm,74.4mm,Top,180.0
U430,26.895mm,77.65mm,Top,90.0
D430,21.625mm,75.43mm,Top,90.0
U440,72.75mm,68.775mm,Top,0.0
R440,74.225mm,72.985mm,Top,0.0
D441,73.25mm,76.625mm,Top,180.0
D440,73.3mm,74.55mm,Top,180.0
C440,71.6mm,72.95mm,Top,0.0
U460,17.325mm,68.825mm,Top,270.0
C461,17.875mm,73.4mm,Top,180.0
C460,15.2mm,73.4mm,Top,0.0
R469,19.975mm,63.95mm,Top,0.0
R468,19.1mm,61.95mm,Top,270.0
R467,13.97mm,61.95mm,Top,270.0
R466,16.675mm,63.85mm,Top,0.0
R461,20.27mm,61.925mm,Top,270.0
R464,15.145mm,61.95mm,Top,270.0
R463,16.32mm,61.95mm,Top,270.0
R462,17.926mm,61.95mm,Top,270.0
